age,age group,gender,income/month,account balance,loyalty score,education level,Facebook,Twitter,Email,Instagram,prev campaign success,total_withdrawals,total_deposits,net_transaction,transaction_count,housing,loan,job grouped_retired,job grouped_self employed/entrepreneur,job grouped_student,job grouped_unemployed,job grouped_unknown,job grouped_white collar,marital_married,marital_single,Cluster,PCA1,PCA2
64,4,0,9897,3582,658,0,1,1,1,0,0,8293.46,14814.87,6521.41,6,1,0,0,0,0,0,0,0,1,0,0,1.768440253871379,2.0415865267046565
43,2,0,11002,6398,844,3,1,0,1,0,1,389.14,21773.22,21384.08,4,1,0,1,0,0,0,0,0,1,0,2,2.3018074956496415,0.07123932090750154
57,3,0,6452,962,274,2,1,1,1,1,0,3367.79,30706.57,27338.78,6,1,0,1,0,0,0,0,0,1,0,2,4.127697179797576,1.3287404889689514
57,3,0,8832,2628,991,2,0,0,1,1,0,8693.45,5692.3,-3001.15,4,1,0,0,0,0,0,0,1,0,1,0,-0.021356893187002558,0.8476389623213882
23,0,0,4786,9668,964,0,0,1,1,1,1,4236.8,3485.42,-751.38,3,1,0,0,1,0,0,0,0,1,0,3,-0.6324747466200751,-2.089988644588175
25,0,0,10513,6504,322,0,1,0,1,1,1,928.38,5407.51,4479.13,2,1,0,0,0,0,0,0,0,1,0,3,-0.5809764522354529,-1.9461807818567372
31,1,1,13630,3565,7,0,1,0,1,1,1,4261.91,3989.89,-272.02,3,0,0,0,0,0,0,0,0,0,0,3,-0.5358939468815642,-1.2385811362769452
58,3,0,8932,9246,609,1,1,1,1,1,1,0.0,565.15,565.15,1,1,0,0,0,0,0,0,1,0,1,1,-1.4893108900239638,0.8337880356160858
23,0,1,12261,2635,865,1,0,1,1,0,0,4604.66,20274.26,15669.6,6,1,0,0,0,0,0,0,0,1,0,2,2.647445578854059,-1.9928572835943807
61,4,1,4933,7530,459,1,1,1,0,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,-1.9177857070626347,1.7012200063627676
67,4,1,13358,7889,358,3,1,1,1,1,1,4097.34,17537.85,13440.51,5,1,0,0,0,0,0,0,1,1,0,2,1.9231144544492902,2.2005226769607704
46,2,1,4456,1849,437,1,1,1,1,1,0,11776.42,12266.0,489.58,6,1,0,0,0,0,0,0,1,0,1,0,1.4721715578073715,-0.14097417058587497
55,3,1,10358,6262,511,3,1,0,1,0,0,1756.22,15592.27,13836.05,4,1,1,0,0,0,0,0,0,0,1,2,1.4660947972666232,0.8429361384258487
29,0,0,8074,2488,725,0,0,1,1,0,0,1502.64,13472.29,11969.65,3,0,1,0,1,0,0,0,0,0,1,3,0.9328004687685625,-2.0393809931089204
43,2,1,11630,6587,777,1,1,1,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,3,-1.8355813070983662,-0.41575715929799595
43,2,1,13112,370,953,0,1,0,0,1,0,0.0,5990.42,5990.42,1,1,0,0,0,0,0,0,0,1,0,1,-0.7843332527282556,-0.04507837393774388
49,2,0,12596,1231,707,0,1,1,0,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,3,-1.791104674205574,-0.11364950994591652
26,0,1,13422,7726,817,0,1,1,0,1,1,3667.09,8531.34,4864.25,2,1,0,0,0,0,0,0,1,1,0,3,-0.13039992061302522,-1.9350831722370327
55,3,1,7430,2301,156,2,1,0,0,0,1,7595.67,6809.8,-785.87,4,1,0,0,0,0,0,0,1,1,0,0,0.06773559755777422,1.1192331532474127
46,2,1,11687,2871,702,1,0,1,0,1,0,3636.68,7658.58,4021.9,4,1,0,0,0,0,0,0,0,0,0,0,0.3014834902531151,-0.016140383134231353
33,1,1,11132,7268,997,0,0,1,0,1,1,6297.15,2286.7,-4010.45,4,1,0,0,0,0,0,0,0,1,0,0,-0.5303749252440152,-1.0574947023148136
46,2,1,10058,8275,333,0,0,1,0,1,0,9583.56,6676.12,-2907.44,4,1,0,0,0,0,0,0,1,1,0,0,0.04150197781409126,0.1092951670810433
50,3,0,7797,2733,388,0,1,1,0,1,0,0.0,3307.26,3307.26,1,1,0,0,0,0,0,0,0,1,0,1,-1.1621095808241757,0.8026822143456351
39,1,1,13688,9095,965,1,1,1,1,1,1,0.0,7213.28,7213.28,2,1,0,0,0,0,0,0,1,1,0,3,-0.3259916916860055,-0.7910684321628373
67,4,0,5265,168,729,2,1,1,1,1,1,1494.35,9167.71,7673.36,2,0,0,1,0,0,0,0,0,1,0,1,-0.10514882527805974,2.272201097619842
55,3,0,3542,240,826,1,0,1,0,1,1,6469.81,8167.95,1698.14,5,1,0,0,0,0,0,0,1,0,0,0,0.6463733004069808,0.9276026917002748
60,4,1,6642,6445,717,0,1,1,1,1,1,0.0,10694.99,10694.99,2,1,0,0,0,0,0,0,0,1,0,1,0.15538423267140286,1.8240145915168722
62,4,0,6768,642,318,1,1,0,1,1,1,0.0,9346.57,9346.57,1,1,1,0,0,0,0,0,0,0,1,1,-0.2074972508885302,1.6451864198292139
55,3,1,9004,3895,526,3,0,1,0,0,1,7968.72,8416.97,448.25,5,1,1,0,0,0,0,0,0,1,0,0,0.5977285098361036,1.14576658295129
45,2,0,12581,1399,36,2,0,1,0,1,1,0.0,1552.79,1552.79,1,1,1,0,0,0,0,0,1,1,0,1,-1.3824214612500687,0.04865001504068405
38,1,1,13135,9047,955,1,1,0,1,1,0,4226.94,5609.0,1382.06,3,1,1,0,0,0,0,0,1,1,0,3,-0.36066939493971306,-0.7902969965519164
37,1,1,10734,7901,665,3,0,0,0,1,0,10511.75,0.0,-10511.75,3,1,0,0,0,0,0,0,0,1,0,0,-1.2255084859549474,-0.7953848415721048
32,1,0,12528,9318,344,2,0,0,1,1,1,742.31,3291.04,2548.73,2,1,0,0,0,0,0,0,0,1,0,3,-0.9061802065433737,-1.0934651759997194
25,0,0,10048,8352,428,2,1,1,1,1,1,9618.57,15668.61,6050.04,6,1,0,0,0,0,0,0,0,1,0,0,1.9418917541749843,-1.886858725296202
33,1,1,3446,1012,892,2,1,1,0,1,0,1443.8,14299.22,12855.42,5,0,1,0,0,0,0,0,0,1,0,2,1.5247980276257542,-0.9102565861129148
54,3,1,8498,5620,123,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,-1.9112989382501244,0.8576706597514677
62,4,0,10459,736,701,2,0,1,1,0,1,7794.99,26917.71,19122.72,6,1,1,0,0,0,0,0,1,0,0,2,3.6223669359603514,1.8278542443693833
49,2,1,9943,5874,730,2,1,0,1,1,1,1391.85,360.58,-1031.27,3,1,0,0,0,0,0,0,1,0,0,1,-1.052992819124393,0.10977452160012836
27,0,0,6203,4196,901,2,0,1,1,1,0,3720.56,0.0,-3720.56,2,1,0,0,0,0,0,0,1,0,1,3,-1.2971766339215827,-2.187157368361597
40,2,1,9793,6061,833,3,1,0,1,1,1,2896.81,14628.99,11732.18,3,0,0,0,0,0,0,0,1,0,0,2,1.011644874561969,-0.2715218814338198
57,3,0,6110,7340,994,1,1,1,0,0,1,3155.24,7648.82,4493.58,2,1,0,0,0,0,0,0,0,0,1,1,-0.1897645329327681,0.8367087652398766
37,1,0,14166,5024,276,3,0,0,0,1,0,0.0,17466.19,17466.19,3,1,0,0,0,0,0,0,1,1,0,2,1.4524217472314833,-0.8150404819606109
60,4,1,7430,4570,984,1,1,1,1,1,0,0.0,6870.99,6870.99,2,1,1,0,1,0,0,0,0,1,0,1,-0.44240178364790783,1.8159687204798716
31,1,1,7876,2178,346,0,0,1,0,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,3,-1.9033525713182995,-1.1453159579287164
51,3,0,3252,2546,817,0,1,1,1,1,0,2248.83,10089.56,7840.73,3,0,0,0,0,0,0,0,1,1,0,1,0.3214202609380285,0.8827969404999862
50,3,1,11786,8041,182,3,1,1,0,1,1,14520.17,7652.28,-6867.89,6,1,0,0,0,0,0,0,0,1,0,0,0.6852721813419008,0.8902812202570374
56,3,0,12754,7597,532,1,0,0,0,1,0,6711.73,11366.01,4654.28,6,1,1,0,0,0,0,0,1,0,0,0,1.335085084053043,0.991548816799218
35,1,1,4453,385,72,2,1,1,0,1,0,6045.32,6058.47,13.15,3,1,0,1,0,0,0,0,0,1,0,3,-0.2935506809626607,-0.7993690701912101
62,4,1,4603,3993,283,1,1,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,-1.8749747565516879,1.6168917774775395
53,3,0,8378,2893,578,2,1,1,1,1,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,0,1,-1.9357982251213317,0.9724557887029874
33,1,0,9683,8446,987,2,0,1,0,0,1,366.49,12675.16,12308.67,3,1,0,0,0,0,0,0,1,1,0,2,0.7781876487034214,-1.0672999597924522
27,0,0,7087,5957,468,3,1,1,1,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,3,-1.916852690373902,-1.8356932151906005
24,0,1,7317,2126,118,3,1,1,1,1,1,8021.29,14021.41,6000.12,6,0,0,0,1,0,0,0,0,0,0,0,1.7148777660522756,-2.031045602595176
30,1,0,11538,7971,342,2,1,1,1,0,1,0.0,4713.7,4713.7,1,1,1,0,0,0,0,0,1,1,0,3,-0.9430653311838914,-1.2084932560243702
40,2,1,4683,6663,309,3,0,0,0,1,0,540.92,33270.0,32729.08,5,0,0,0,0,0,0,0,0,1,0,2,4.261379982976656,-0.012974164487743143
38,1,1,8801,4481,286,0,1,1,0,0,0,0.0,6604.3,6604.3,3,1,0,1,0,0,0,0,0,1,0,3,-0.16791548055159336,-0.7131691585218247
67,4,0,4404,697,127,1,1,0,1,1,0,1511.24,2770.75,1259.51,3,1,0,0,0,0,0,0,0,1,0,1,-0.7637706011957719,2.2127503554489594
67,4,0,4756,3870,797,0,1,0,1,1,0,0.0,2425.85,2425.85,1,1,0,0,0,0,0,0,1,1,0,1,-1.3500634662897404,2.1341908032255534
61,4,0,10827,2176,406,3,1,0,0,1,0,0.0,3439.74,3439.74,1,1,0,0,0,0,0,0,0,1,0,1,-1.1789941248117295,1.8923059887602058
44,2,1,4428,5342,793,0,1,1,0,1,1,1723.82,1359.48,-364.34,4,0,0,0,0,0,0,0,0,1,0,1,-0.6533744466357606,0.05183491922935242
51,3,0,4072,5907,976,3,1,1,1,1,0,2378.58,9991.51,7612.93,2,1,0,0,0,0,0,0,0,1,0,1,0.037121207689052235,0.9003442826565402
61,4,0,8551,7187,296,1,1,1,1,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,-1.9627613937302932,1.843725701387511
34,1,1,10269,2303,225,1,1,0,1,1,0,6206.19,0.0,-6206.19,4,1,0,0,0,0,0,0,0,0,1,3,-0.8200280131169568,-1.2613531940152622
53,3,0,3008,5799,306,3,1,1,0,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,-1.9161762917466794,0.9878982719700422
28,0,1,11650,7456,512,2,1,1,1,1,0,0.0,968.63,968.63,1,1,0,0,0,0,0,0,0,1,0,3,-1.5153263865962276,-1.7916858492464434
37,1,1,6741,8945,428,1,1,1,1,1,1,3702.05,4800.47,1098.42,2,0,1,0,0,0,0,0,1,1,0,3,-0.7257484755735542,-0.7998210917338702
34,1,1,14986,8361,728,3,0,0,1,1,1,8254.62,542.76,-7711.86,3,1,0,1,0,0,0,0,0,0,1,0,-1.0561768730191365,-1.2369112341358413
22,0,1,12805,167,570,1,1,0,1,0,0,3110.74,357.64,-2753.1,3,1,0,0,0,0,0,0,1,1,0,3,-1.0904398454630628,-2.0974992520195674
69,4,0,12572,7771,110,0,0,0,0,1,1,6475.56,6833.26,357.7,4,1,0,0,0,0,0,0,1,0,0,1,0.1259546401939744,2.0975415223025267
39,1,1,3790,8211,151,2,1,0,1,0,1,7424.51,7036.5,-388.01,5,0,0,0,0,0,0,0,0,0,0,0,0.3988698275334102,-0.7685540322359887
28,0,0,7283,2684,43,3,0,1,1,0,0,9563.29,13675.98,4112.69,6,1,1,0,1,0,0,0,0,1,0,0,1.6160820502431297,-1.7083767733159305
68,4,0,9230,4893,264,0,1,1,0,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,-1.9248230540391063,2.178792391550879
39,1,1,9630,6432,853,1,0,1,0,1,0,3004.62,0.0,-3004.62,1,1,0,1,0,0,0,0,0,0,0,3,-1.6595096142026418,-0.8459803358036215
59,3,0,6011,5612,244,1,0,0,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,-1.9497448234435972,1.260217060223682
62,4,1,9845,7478,433,1,1,1,1,1,0,7026.31,8197.91,1171.6,5,1,0,0,0,0,0,0,1,1,0,0,0.5163817238109488,1.9298479028521422
29,0,0,4956,5174,297,1,0,1,0,0,0,3492.61,0.0,-3492.61,1,1,0,0,0,0,0,0,1,0,1,3,-1.558990389175087,-2.082038329794834
51,3,1,3731,7277,193,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,-1.9410917152817915,0.735575830745121
45,2,0,3877,9438,675,3,1,1,0,1,0,10211.34,4418.0,-5793.34,4,0,0,0,0,0,0,0,0,1,0,0,-0.30388056739659136,0.14186608111934412
69,4,0,9765,7182,477,0,1,1,0,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,-1.902734224394508,2.0748008514673613
29,0,1,6167,8414,655,3,1,1,1,1,1,879.15,12552.51,11673.36,4,1,0,0,0,0,0,0,0,1,0,3,1.0025484374890536,-1.6774822508680227
32,1,0,11687,7330,923,0,1,1,1,1,1,5045.01,15669.48,10624.47,5,1,0,0,0,0,0,0,1,1,0,2,1.7076406136793645,-1.117771529987918
43,2,0,9068,4222,678,2,1,0,1,1,0,0.0,17546.19,17546.19,3,1,1,0,0,0,0,0,1,1,0,2,1.440712762257867,0.006024667056231549
29,0,1,8928,1941,189,3,1,1,1,1,0,2648.25,26369.25,23721.0,6,0,1,0,0,0,0,0,0,1,0,2,3.5408756827889287,-1.5717243981544275
60,4,1,10104,7262,322,2,0,1,1,0,0,3273.47,10762.92,7489.45,6,1,0,0,0,0,0,0,0,0,1,2,1.296358644020182,1.5510448920752093
28,0,1,8673,1900,14,0,0,1,1,1,0,4782.35,8446.76,3664.41,4,1,1,0,0,0,0,0,1,0,1,3,0.4696783711024688,-2.071462954432678
56,3,0,11388,5021,719,2,0,1,1,1,1,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,1,0,1,-1.9208661852480657,1.0658766923681038
35,1,1,6895,4829,500,1,1,1,0,0,1,164.94,10255.08,10090.14,3,1,0,0,0,0,0,0,0,1,0,3,0.41403062394191825,-0.9035095153352167
48,2,1,6820,1460,578,2,1,1,1,0,1,2843.19,7398.37,4555.18,2,1,0,0,0,0,0,0,1,1,0,1,-0.32913154869179645,0.22486266257253604
28,0,1,3662,2591,272,1,0,1,0,0,0,1702.54,6977.13,5274.59,3,0,0,0,0,0,0,0,1,1,0,3,-0.09557392875779909,-1.7358881022613317
34,1,1,4293,7646,232,2,0,1,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,3,-1.8270122350692113,-1.3141395932910498
68,4,0,10582,6835,108,3,1,1,1,1,0,1620.26,0.0,-1620.26,1,1,0,0,0,0,0,0,0,0,1,1,-1.6164333467927792,1.9031683345730763
46,2,0,11192,139,397,2,0,1,1,1,0,2470.4,7719.97,5249.57,4,1,1,0,0,0,0,0,1,0,1,3,0.37826746798514976,-0.18911454863641536
45,2,1,13241,371,829,2,0,0,0,1,1,10627.27,10569.32,-57.95,6,1,0,0,0,0,1,0,0,0,1,0,1.1880502029552165,-0.0927606653973433
41,2,0,14082,9724,902,0,0,1,0,0,1,4405.11,7566.2,3161.09,2,1,0,0,0,0,0,0,0,1,0,1,-0.2907046510951457,-0.19196803251639358
66,4,1,11555,5764,99,1,1,1,0,1,0,7628.41,1488.69,-6139.72,3,1,0,0,0,0,0,0,0,0,1,0,-0.9013634067693155,1.8207182808153275
46,2,0,8893,7756,129,1,1,1,1,1,1,1696.21,0.0,-1696.21,1,0,0,0,0,0,0,0,1,0,1,3,-1.5857005669902378,-0.2220040212284209
30,1,0,3342,5322,400,3,0,1,0,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,3,-1.8818698489707215,-1.1711523841943443
43,2,1,12774,2633,379,3,1,1,1,0,1,7559.82,11971.14,4411.32,5,1,0,0,0,0,0,0,0,1,0,0,1.1146308054070793,0.026439437386618442
38,1,1,14188,2106,753,2,0,0,0,1,1,6313.82,7956.36,1642.54,5,1,0,0,0,0,0,0,0,0,0,0,0.6042384627236101,-0.8964966068211095
59,3,0,8278,786,528,3,1,1,0,0,1,10494.36,14023.09,3528.73,6,1,0,0,1,0,0,0,0,0,1,0,1.7461546689518053,0.9919513773771657
47,2,0,3576,1672,424,0,1,1,1,1,0,3844.44,14762.67,10918.23,5,0,0,0,0,0,1,0,0,1,0,2,1.4735421954083865,0.3455275964749164
60,4,1,7136,7225,64,3,1,1,0,1,0,2862.32,19308.51,16446.19,5,1,0,0,0,0,0,0,0,1,0,2,2.1977825397044044,1.9233112203290532
32,1,0,8358,3451,389,1,1,1,0,1,1,1425.58,18472.41,17046.83,6,1,0,0,0,0,0,0,0,1,0,2,2.448315739865578,-1.0350858535040819
43,2,1,13150,6995,158,0,1,1,1,1,0,1894.83,9841.99,7947.16,3,1,0,0,0,0,0,0,1,1,0,2,0.2897177849621995,-0.05161904168622993
35,1,0,6134,7807,432,0,1,0,1,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3,-1.8851088525816437,-1.1054472590406783
26,0,1,10011,7898,566,1,1,1,0,1,0,0.0,11946.94,11946.94,2,1,0,0,0,0,1,0,0,1,0,3,0.3098570780713529,-1.7643669496500949
62,4,0,8426,4573,874,1,0,0,0,1,0,3950.25,6043.47,2093.22,4,1,0,0,0,0,0,0,1,1,0,1,-0.01771079707485181,1.9055193876507281
26,0,1,13477,1136,437,1,1,0,1,0,1,0.0,17364.19,17364.19,2,1,0,0,0,0,0,0,0,1,0,2,1.1702959483919286,-1.8517808739729933
24,0,0,11307,1982,889,2,1,0,0,1,1,0.0,16112.44,16112.44,3,1,0,0,0,0,0,0,0,1,0,2,1.2955266745624325,-1.9576867229719999
23,0,0,12665,6469,752,1,1,1,0,1,0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,3,-1.7391332939229354,-2.386082961912476
33,1,0,4690,4987,963,0,1,1,0,1,1,2853.63,14848.31,11994.68,3,1,0,0,0,0,0,0,1,1,0,2,1.0834574917832938,-1.0505605406167935
68,4,0,7505,7833,968,0,1,1,1,0,1,944.93,2388.25,1443.32,2,1,0,0,0,0,0,0,1,1,0,1,-1.0671234379962582,2.145930633681264
23,0,0,9725,7921,629,2,1,0,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,3,-1.9106574968420587,-2.0254032495772
49,2,0,11732,6162,601,3,1,1,1,1,0,0.0,9755.66,9755.66,1,1,0,0,0,0,0,0,1,1,0,1,-0.23999217725244978,0.2435394508578725
22,0,0,8574,5599,587,0,1,1,0,0,1,7556.0,11644.41,4088.41,6,1,0,0,0,0,0,0,0,1,0,0,1.3970072563048566,-2.0659384298601484
38,1,1,9275,7192,620,3,0,1,0,0,1,8809.24,6343.81,-2465.43,4,1,0,1,0,0,0,0,0,0,0,0,0.041058510734018554,-0.8342202740199343
52,3,1,12134,1598,314,3,1,0,1,0,0,2989.63,1664.47,-1325.16,2,1,0,0,0,0,0,0,0,1,0,1,-1.2176207527244205,0.9600000658327429
27,0,1,3843,1470,412,3,0,1,1,1,1,8660.7,0.0,-8660.7,2,1,0,0,0,0,0,0,0,1,0,3,-1.4334358216538075,-1.7815844717659604
28,0,1,10131,747,531,0,1,1,0,1,0,3512.26,7095.3,3583.04,2,1,0,0,0,0,0,0,1,1,0,3,-0.3438145531684055,-1.8010707631111182
67,4,0,10493,4090,233,3,1,1,0,0,1,3208.61,2082.89,-1125.72,2,1,0,0,0,0,0,0,0,0,1,1,-1.0149485166787033,1.860740246781859
50,3,0,12506,8700,268,1,0,0,1,1,1,6822.29,10908.13,4085.84,5,1,0,0,0,0,0,0,1,0,1,0,1.0412429255305562,0.495102968566476
42,2,1,11406,2025,186,1,1,1,0,1,0,3731.68,0.0,-3731.68,1,1,0,0,0,0,0,0,0,1,0,1,-1.6844831319782936,-0.07664088362922947
