customer id,age,gender,income/month,account balance,loyalty score,education level,type of campaign(s),prev campaign success,Transaction history,housing,loan,marital,job,has customer bought product,has customer churned
18,32,Male,13089,8359,515,Primary,"['Instagram', 'Email']",Yes,"[[-59, 'Withdrawal', 946.81], [-49, 'Deposit', 9076.31], [-39, 'Deposit', 9827.61], [-24, 'Withdrawal', 3078.67], [-9, 'Withdrawal', 88.25], [-7, 'Withdrawal', 3957.37]]",yes,no,married,blue-collar,Yes,Yes
19,23,Male,8558,7358,991,Primary,['Twitter'],No,"[[-59, 'Deposit', 7406.59], [-55, 'Withdrawal', 968.47], [-48, 'Deposit', 7603.46], [-30, 'Deposit', 2226.68], [-26, 'Deposit', 5511.44], [-12, 'Deposit', 997.91]]",yes,no,married,retired,No,No
20,52,Male,4008,1675,163,Postgrad,"['Facebook', 'Twitter']",Yes,"[[-47, 'Deposit', 7940.03], [-17, 'Deposit', 3028.11], [-2, 'Deposit', 9287.97]]",yes,no,married,services,Yes,Yes
21,64,Female,5680,8256,677,Secondary,['Facebook'],No,"[[-52, 'Deposit', 4677.83], [-43, 'Withdrawal', 1591.6], [-14, 'Deposit', 6365.87], [-11, 'Withdrawal', 796.22]]",yes,yes,married,blue-collar,No,Yes
22,29,Male,11793,9770,378,Primary,"['Facebook', 'Twitter']",Yes,"[[-56, 'Deposit', 5642.98], [-54, 'Deposit', 4442.56], [-2, 'Deposit', 1142.25]]",yes,no,married,management,Yes,No
23,33,Female,7619,3136,826,Tertiary,"['Instagram', 'Twitter', 'Email']",Yes,"[[-39, 'Withdrawal', 2586.14], [-15, 'Withdrawal', 1528.19]]",yes,yes,single,blue-collar,No,No
24,24,Male,10310,2764,188,Tertiary,"['Facebook', 'Instagram', 'Email']",Yes,[],yes,no,married,services,Yes,Yes
25,58,Female,11926,3898,140,Primary,"['Instagram', 'Email']",No,"[[-39, 'Deposit', 9059.93], [-36, 'Deposit', 5899.56], [-31, 'Withdrawal', 3172.31], [-27, 'Withdrawal', 1030.77], [-19, 'Deposit', 8271.88]]",yes,yes,married,retired,No,Yes
26,39,Female,9742,7292,338,Postgrad,"['Facebook', 'Instagram']",No,"[[-59, 'Deposit', 1082.01], [-36, 'Deposit', 1507.11], [-19, 'Withdrawal', 1233.21], [-11, 'Deposit', 4695.92]]",yes,no,married,admin.,No,Yes
27,38,Female,10245,6011,681,Secondary,"['Instagram', 'Facebook', 'Twitter']",No,"[[-12, 'Withdrawal', 3447.9]]",yes,no,single,management,No,No
28,28,Male,4850,6379,954,Postgrad,['Twitter'],No,"[[-53, 'Withdrawal', 2626.3], [-50, 'Withdrawal', 3337.22], [-34, 'Deposit', 9857.46], [-29, 'Withdrawal', 4117.61], [-4, 'Deposit', 5212.94]]",yes,yes,married,entrepreneur,No,No
29,63,Male,10880,4714,878,Tertiary,"['Twitter', 'Email']",Yes,[],yes,no,single,management,No,No
30,43,Male,5775,4209,151,Postgrad,"['Facebook', 'Email']",Yes,"[[-57, 'Withdrawal', 1283.46], [-40, 'Deposit', 3567.2], [-18, 'Withdrawal', 1768.74], [-7, 'Withdrawal', 3871.73]]",yes,yes,single,technician,No,Yes
31,35,Male,11769,9372,910,Secondary,"['Facebook', 'Instagram', 'Twitter', 'Email']",Yes,"[[-48, 'Withdrawal', 3198.37], [-29, 'Withdrawal', 3935.21]]",no,yes,married,technician,Yes,Yes
32,21,Male,6561,309,278,Primary,"['Twitter', 'Email']",Yes,"[[-59, 'Withdrawal', 445.81], [-48, 'Deposit', 5654.76], [-22, 'Deposit', 1030.86], [-9, 'Withdrawal', 4942.53], [-8, 'Withdrawal', 1238.59]]",yes,no,married,management,No,Yes
33,53,Female,4766,256,353,Postgrad,"['Instagram', 'Facebook', 'Email']",Yes,"[[-49, 'Withdrawal', 2000.66], [-44, 'Withdrawal', 3596.69], [-13, 'Withdrawal', 1089.54], [-11, 'Deposit', 648.1], [-10, 'Deposit', 556.33]]",yes,yes,married,admin.,No,No
34,41,Female,3109,1418,788,Primary,"['Facebook', 'Instagram']",Yes,"[[-32, 'Deposit', 2437.17], [-3, 'Withdrawal', 3144.47]]",yes,no,married,blue-collar,No,No
35,47,Male,6973,286,694,Tertiary,"['Facebook', 'Instagram']",No,"[[-49, 'Deposit', 5996.29], [-42, 'Deposit', 5993.63], [-38, 'Withdrawal', 2877.57], [-35, 'Deposit', 108.84], [-14, 'Withdrawal', 4111.17], [-8, 'Withdrawal', 4225.44]]",yes,no,married,management,No,No
36,24,Male,8021,8335,419,Tertiary,"['Facebook', 'Twitter', 'Email']",Yes,"[[-55, 'Withdrawal', 2115.33], [-51, 'Withdrawal', 1317.11], [-20, 'Deposit', 7311.81]]",yes,no,divorced,technician,Yes,No
37,60,Female,13120,1786,288,Primary,"['Instagram', 'Email']",No,[],yes,no,married,blue-collar,Yes,No
38,35,Female,3333,6657,794,Primary,"['Facebook', 'Twitter']",No,"[[-60, 'Withdrawal', 2625.84], [-41, 'Deposit', 9738.33], [-20, 'Withdrawal', 3415.31], [-16, 'Withdrawal', 3597.6], [-15, 'Withdrawal', 421.3], [-7, 'Deposit', 2615.77]]",no,no,married,technician,Yes,No
39,43,Female,3467,291,184,Postgrad,"['Instagram', 'Twitter']",No,"[[-36, 'Withdrawal', 837.78], [-29, 'Deposit', 154.12], [-27, 'Deposit', 8431.72], [-18, 'Deposit', 6727.8]]",yes,no,divorced,admin.,No,Yes
40,57,Female,12182,2656,723,Tertiary,"['Twitter', 'Instagram', 'Facebook', 'Email']",No,"[[-32, 'Deposit', 822.39], [-21, 'Withdrawal', 362.64], [-16, 'Withdrawal', 1378.27], [-11, 'Withdrawal', 3190.71], [-7, 'Deposit', 8900.4], [-5, 'Deposit', 1974.69]]",yes,no,single,admin.,No,No
41,60,Male,5211,2126,856,Secondary,"['Twitter', 'Facebook', 'Email']",No,"[[-55, 'Withdrawal', 404.03], [-40, 'Withdrawal', 4624.28], [-31, 'Deposit', 5859.74], [-26, 'Withdrawal', 2829.62], [-7, 'Deposit', 7712.18]]",yes,no,divorced,services,No,No
42,50,Male,4812,6919,350,Primary,"['Twitter', 'Facebook', 'Instagram', 'Email']",Yes,"[[-46, 'Deposit', 8564.6], [-40, 'Deposit', 5852.75], [-39, 'Deposit', 465.55], [-38, 'Withdrawal', 1886.05], [-7, 'Deposit', 7679.54], [-5, 'Deposit', 6011.49]]",yes,no,married,management,No,Yes
43,64,Female,9897,3582,658,Primary,"['Twitter', 'Facebook', 'Email']",No,"[[-48, 'Withdrawal', 2850.13], [-46, 'Withdrawal', 3526.01], [-34, 'Deposit', 9868.55], [-21, 'Withdrawal', 1917.32], [-18, 'Deposit', 3409.31], [-5, 'Deposit', 1537.01]]",yes,no,married,blue-collar,Yes,No
44,43,Female,11002,6398,844,Postgrad,"['Facebook', 'Email']",Yes,"[[-36, 'Deposit', 6326.02], [-35, 'Withdrawal', 389.14], [-27, 'Deposit', 8333.03], [-26, 'Deposit', 7114.17]]",yes,no,married,retired,No,Yes
45,57,Female,6452,962,274,Tertiary,"['Twitter', 'Facebook', 'Instagram', 'Email']",No,"[[-48, 'Deposit', 9560.83], [-47, 'Deposit', 8453.36], [-31, 'Deposit', 2355.27], [-7, 'Withdrawal', 3367.79], [-4, 'Deposit', 6938.88], [-2, 'Deposit', 3398.23]]",yes,no,married,retired,No,No
46,57,Female,8832,2628,991,Tertiary,"['Instagram', 'Email']",No,"[[-37, 'Deposit', 5692.3], [-24, 'Withdrawal', 791.12], [-17, 'Withdrawal', 2979.29], [-2, 'Withdrawal', 4923.04]]",yes,no,single,admin.,No,Yes
47,23,Female,4786,9668,964,Primary,"['Instagram', 'Twitter', 'Email']",Yes,"[[-60, 'Deposit', 364.54], [-58, 'Withdrawal', 4236.8], [-21, 'Deposit', 3120.88]]",yes,no,married,self-employed,No,No
48,25,Female,10513,6504,322,Primary,"['Facebook', 'Instagram', 'Email']",Yes,"[[-56, 'Deposit', 5407.51], [-54, 'Withdrawal', 928.38]]",yes,no,married,technician,Yes,Yes
49,31,Male,13630,3565,7,Primary,"['Facebook', 'Instagram', 'Email']",Yes,"[[-60, 'Withdrawal', 4261.91], [-9, 'Deposit', 1649.1], [-4, 'Deposit', 2340.79]]",no,no,divorced,technician,No,Yes
50,58,Female,8932,9246,609,Secondary,"['Facebook', 'Twitter', 'Instagram', 'Email']",Yes,"[[-40, 'Deposit', 565.15]]",yes,no,single,management,Yes,Yes
51,23,Male,12261,2635,865,Secondary,"['Twitter', 'Email']",No,"[[-51, 'Deposit', 4067.96], [-49, 'Deposit', 718.0], [-43, 'Withdrawal', 4462.08], [-29, 'Withdrawal', 142.58], [-18, 'Deposit', 9124.03], [-15, 'Deposit', 6364.27]]",yes,no,married,blue-collar,No,Yes
52,61,Male,4933,7530,459,Secondary,"['Twitter', 'Instagram', 'Facebook']",No,[],yes,no,divorced,management,No,No
53,67,Male,13358,7889,358,Postgrad,"['Instagram', 'Twitter', 'Facebook', 'Email']",Yes,"[[-39, 'Deposit', 5007.58], [-31, 'Deposit', 7604.43], [-30, 'Withdrawal', 4097.34], [-10, 'Deposit', 4525.28], [-8, 'Deposit', 400.56]]",yes,no,married,management,No,No
54,46,Male,4456,1849,437,Secondary,"['Twitter', 'Facebook', 'Instagram', 'Email']",No,"[[-58, 'Withdrawal', 3008.81], [-46, 'Withdrawal', 1827.18], [-22, 'Deposit', 5627.68], [-19, 'Deposit', 6638.32], [-18, 'Withdrawal', 2435.2], [-16, 'Withdrawal', 4505.23]]",yes,no,single,admin.,No,No
55,55,Male,10358,6262,511,Postgrad,"['Facebook', 'Email']",No,"[[-29, 'Withdrawal', 1756.22], [-22, 'Deposit', 3860.74], [-20, 'Deposit', 4334.77], [-19, 'Deposit', 7396.76]]",yes,yes,single,technician,Yes,Yes
56,29,Female,8074,2488,725,Primary,"['Twitter', 'Email']",No,"[[-53, 'Deposit', 6421.93], [-43, 'Withdrawal', 1502.64], [-20, 'Deposit', 7050.36]]",no,yes,single,entrepreneur,No,Yes
57,43,Male,11630,6587,777,Secondary,"['Instagram', 'Facebook', 'Twitter', 'Email']",Yes,[],yes,no,single,management,No,No
58,43,Male,13112,370,953,Primary,"['Facebook', 'Instagram']",No,"[[-16, 'Deposit', 5990.42]]",yes,no,married,blue-collar,Yes,Yes
59,49,Female,12596,1231,707,Primary,"['Instagram', 'Twitter', 'Facebook']",Yes,[],yes,no,single,blue-collar,Yes,No
60,26,Male,13422,7726,817,Primary,"['Facebook', 'Twitter', 'Instagram']",Yes,"[[-35, 'Withdrawal', 3667.09], [-3, 'Deposit', 8531.34]]",yes,no,married,services,No,No
61,55,Male,7430,2301,156,Tertiary,['Facebook'],Yes,"[[-59, 'Withdrawal', 3869.66], [-43, 'Withdrawal', 1547.77], [-29, 'Withdrawal', 2178.24], [-17, 'Deposit', 6809.8]]",yes,no,married,admin.,Yes,No
62,46,Male,11687,2871,702,Secondary,"['Twitter', 'Instagram']",No,"[[-43, 'Deposit', 4363.13], [-41, 'Deposit', 3295.45], [-20, 'Withdrawal', 3278.24], [-6, 'Withdrawal', 358.44]]",yes,no,divorced,technician,Yes,No
63,33,Male,11132,7268,997,Primary,"['Instagram', 'Twitter']",Yes,"[[-59, 'Deposit', 2286.7], [-55, 'Withdrawal', 1999.14], [-26, 'Withdrawal', 3694.92], [-8, 'Withdrawal', 603.09]]",yes,no,married,blue-collar,Yes,No
64,46,Male,10058,8275,333,Primary,"['Twitter', 'Instagram']",No,"[[-56, 'Withdrawal', 2314.2], [-24, 'Withdrawal', 3209.14], [-16, 'Deposit', 6676.12], [-15, 'Withdrawal', 4060.22]]",yes,no,married,services,Yes,No
65,50,Female,7797,2733,388,Primary,"['Twitter', 'Facebook', 'Instagram']",No,"[[-31, 'Deposit', 3307.26]]",yes,no,married,blue-collar,Yes,Yes
66,39,Male,13688,9095,965,Secondary,"['Instagram', 'Twitter', 'Facebook', 'Email']",Yes,"[[-58, 'Deposit', 5760.28], [-53, 'Deposit', 1453.0]]",yes,no,married,management,No,Yes
67,67,Female,5265,168,729,Tertiary,"['Instagram', 'Facebook', 'Twitter', 'Email']",Yes,"[[-52, 'Withdrawal', 1494.35], [-17, 'Deposit', 9167.71]]",no,no,married,retired,Yes,No
68,55,Female,3542,240,826,Secondary,"['Twitter', 'Instagram']",Yes,"[[-45, 'Deposit', 3786.3], [-34, 'Withdrawal', 2057.54], [-30, 'Withdrawal', 4412.27], [-27, 'Deposit', 4160.1], [-17, 'Deposit', 221.55]]",yes,no,divorced,management,Yes,No
69,60,Male,6642,6445,717,Primary,"['Facebook', 'Twitter', 'Instagram', 'Email']",Yes,"[[-34, 'Deposit', 2800.94], [-25, 'Deposit', 7894.05]]",yes,no,married,technician,Yes,Yes
70,62,Female,6768,642,318,Secondary,"['Instagram', 'Facebook', 'Email']",Yes,"[[-26, 'Deposit', 9346.57]]",yes,yes,single,blue-collar,No,No
71,55,Male,9004,3895,526,Postgrad,['Twitter'],Yes,"[[-47, 'Deposit', 5867.86], [-43, 'Withdrawal', 2830.04], [-32, 'Withdrawal', 2551.03], [-26, 'Deposit', 2549.11], [-5, 'Withdrawal', 2587.65]]",yes,yes,married,blue-collar,No,No
72,45,Female,12581,1399,36,Tertiary,"['Instagram', 'Twitter']",Yes,"[[-9, 'Deposit', 1552.79]]",yes,yes,married,services,No,No
73,38,Male,13135,9047,955,Secondary,"['Instagram', 'Facebook', 'Email']",No,"[[-38, 'Withdrawal', 4226.94], [-34, 'Deposit', 4701.06], [-30, 'Deposit', 907.94]]",yes,yes,married,management,No,Yes
74,37,Male,10734,7901,665,Postgrad,['Instagram'],No,"[[-44, 'Withdrawal', 3140.63], [-10, 'Withdrawal', 2556.57], [-5, 'Withdrawal', 4814.55]]",yes,no,married,blue-collar,Yes,Yes
75,32,Female,12528,9318,344,Tertiary,"['Instagram', 'Email']",Yes,"[[-49, 'Deposit', 3291.04], [-9, 'Withdrawal', 742.31]]",yes,no,married,technician,No,No
76,25,Female,10048,8352,428,Tertiary,"['Twitter', 'Facebook', 'Instagram', 'Email']",Yes,"[[-59, 'Deposit', 7876.92], [-48, 'Deposit', 543.87], [-41, 'Deposit', 7247.82], [-39, 'Withdrawal', 197.88], [-32, 'Withdrawal', 4927.55], [-26, 'Withdrawal', 4493.14]]",yes,no,married,technician,Yes,No
77,33,Male,3446,1012,892,Tertiary,"['Facebook', 'Instagram', 'Twitter']",No,"[[-40, 'Deposit', 2945.81], [-36, 'Withdrawal', 1443.8], [-27, 'Deposit', 1106.55], [-22, 'Deposit', 301.19], [-2, 'Deposit', 9945.67]]",no,yes,married,blue-collar,No,No
78,54,Male,8498,5620,123,Primary,"['Instagram', 'Twitter']",No,[],no,no,divorced,services,Yes,No
79,62,Female,10459,736,701,Tertiary,"['Twitter', 'Email']",Yes,"[[-59, 'Deposit', 8513.82], [-57, 'Withdrawal', 4911.32], [-50, 'Deposit', 8703.67], [-28, 'Deposit', 9700.22], [-21, 'Withdrawal', 238.31], [-7, 'Withdrawal', 2645.36]]",yes,yes,divorced,services,No,Yes
80,49,Male,9943,5874,730,Tertiary,"['Instagram', 'Facebook', 'Email']",Yes,"[[-35, 'Withdrawal', 322.11], [-12, 'Withdrawal', 1069.74], [-2, 'Deposit', 360.58]]",yes,no,divorced,services,No,No
81,27,Female,6203,4196,901,Tertiary,"['Instagram', 'Twitter', 'Email']",No,"[[-38, 'Withdrawal', 12.44], [-34, 'Withdrawal', 3708.12]]",yes,no,single,admin.,Yes,Yes
82,40,Male,9793,6061,833,Postgrad,"['Instagram', 'Facebook', 'Email']",Yes,"[[-57, 'Deposit', 6978.35], [-45, 'Deposit', 7650.64], [-28, 'Withdrawal', 2896.81]]",no,no,divorced,services,No,No
83,57,Female,6110,7340,994,Secondary,"['Facebook', 'Twitter']",Yes,"[[-54, 'Withdrawal', 3155.24], [-35, 'Deposit', 7648.82]]",yes,no,single,technician,No,No
84,37,Female,14166,5024,276,Postgrad,['Instagram'],No,"[[-45, 'Deposit', 7276.73], [-23, 'Deposit', 2908.71], [-22, 'Deposit', 7280.75]]",yes,no,married,admin.,Yes,No
85,60,Male,7430,4570,984,Secondary,"['Facebook', 'Instagram', 'Twitter', 'Email']",No,"[[-44, 'Deposit', 3907.45], [-11, 'Deposit', 2963.54]]",yes,yes,married,self-employed,No,No
86,31,Male,7876,2178,346,Primary,"['Instagram', 'Twitter']",No,[],yes,no,married,blue-collar,No,Yes
87,51,Female,3252,2546,817,Primary,"['Facebook', 'Twitter', 'Instagram', 'Email']",No,"[[-47, 'Withdrawal', 2248.83], [-34, 'Deposit', 9963.4], [-31, 'Deposit', 126.16]]",no,no,married,admin.,No,No
88,50,Male,11786,8041,182,Postgrad,"['Instagram', 'Facebook', 'Twitter']",Yes,"[[-58, 'Withdrawal', 3542.65], [-50, 'Deposit', 5827.12], [-29, 'Withdrawal', 2487.05], [-18, 'Deposit', 1825.16], [-13, 'Withdrawal', 4710.43], [-8, 'Withdrawal', 3780.04]]",yes,no,married,technician,No,Yes
89,56,Female,12754,7597,532,Secondary,['Instagram'],No,"[[-54, 'Withdrawal', 2211.16], [-37, 'Withdrawal', 425.37], [-33, 'Deposit', 6588.35], [-25, 'Withdrawal', 2003.21], [-14, 'Withdrawal', 2071.99], [-10, 'Deposit', 4777.66]]",yes,yes,divorced,management,Yes,No
90,35,Male,4453,385,72,Tertiary,"['Twitter', 'Instagram', 'Facebook']",No,"[[-42, 'Deposit', 6058.47], [-28, 'Withdrawal', 3290.59], [-2, 'Withdrawal', 2754.73]]",yes,no,married,retired,No,No
91,62,Male,4603,3993,283,Secondary,"['Twitter', 'Facebook', 'Instagram']",No,[],no,no,single,management,Yes,No
92,53,Female,8378,2893,578,Tertiary,"['Twitter', 'Instagram', 'Facebook', 'Email']",No,[],yes,yes,married,technician,Yes,Yes
93,33,Female,9683,8446,987,Tertiary,['Twitter'],Yes,"[[-49, 'Deposit', 9179.67], [-24, 'Deposit', 3495.49], [-8, 'Withdrawal', 366.49]]",yes,no,married,admin.,Yes,Yes
94,27,Female,7087,5957,468,Postgrad,"['Facebook', 'Twitter', 'Email']",No,[],yes,no,married,blue-collar,No,No
95,24,Male,7317,2126,118,Postgrad,"['Facebook', 'Twitter', 'Instagram', 'Email']",Yes,"[[-42, 'Withdrawal', 2539.7], [-34, 'Withdrawal', 835.98], [-33, 'Withdrawal', 1956.57], [-23, 'Withdrawal', 2689.04], [-20, 'Deposit', 9807.7], [-19, 'Deposit', 4213.71]]",no,no,divorced,entrepreneur,No,No
96,30,Female,11538,7971,342,Tertiary,"['Facebook', 'Twitter', 'Email']",Yes,"[[-26, 'Deposit', 4713.7]]",yes,yes,married,management,Yes,No
97,40,Male,4683,6663,309,Postgrad,['Instagram'],No,"[[-54, 'Deposit', 9624.78], [-49, 'Deposit', 9675.61], [-43, 'Deposit', 9754.86], [-29, 'Deposit', 4214.75], [-17, 'Withdrawal', 540.92]]",no,no,married,blue-collar,No,No
98,38,Male,8801,4481,286,Primary,"['Facebook', 'Twitter']",No,"[[-55, 'Deposit', 240.63], [-33, 'Deposit', 2613.95], [-23, 'Deposit', 3749.72]]",yes,no,married,retired,Yes,Yes
99,67,Female,4404,697,127,Secondary,"['Facebook', 'Instagram', 'Email']",No,"[[-17, 'Deposit', 652.55], [-7, 'Withdrawal', 1511.24], [-5, 'Deposit', 2118.2]]",yes,no,married,technician,No,Yes
100,67,Female,4756,3870,797,Primary,"['Facebook', 'Instagram', 'Email']",No,"[[-3, 'Deposit', 2425.85]]",yes,no,married,management,Yes,Yes
101,61,Female,10827,2176,406,Postgrad,"['Instagram', 'Facebook']",No,"[[-10, 'Deposit', 3439.74]]",yes,no,married,blue-collar,Yes,No
102,44,Male,4428,5342,793,Primary,"['Facebook', 'Instagram', 'Twitter']",Yes,"[[-46, 'Withdrawal', 520.24], [-29, 'Deposit', 1359.48], [-22, 'Withdrawal', 456.64], [-16, 'Withdrawal', 746.94]]",no,no,married,blue-collar,No,No
103,51,Female,4072,5907,976,Postgrad,"['Twitter', 'Facebook', 'Instagram', 'Email']",No,"[[-52, 'Deposit', 9991.51], [-29, 'Withdrawal', 2378.58]]",yes,no,married,blue-collar,Yes,Yes
104,61,Female,8551,7187,296,Secondary,"['Twitter', 'Facebook', 'Instagram', 'Email']",No,[],yes,no,married,blue-collar,Yes,Yes
105,34,Male,10269,2303,225,Secondary,"['Instagram', 'Facebook', 'Email']",No,"[[-44, 'Withdrawal', 1155.39], [-41, 'Withdrawal', 331.41], [-39, 'Withdrawal', 3831.22], [-20, 'Withdrawal', 888.17]]",yes,no,single,technician,No,Yes
106,53,Female,3008,5799,306,Postgrad,"['Instagram', 'Twitter', 'Facebook']",Yes,[],yes,no,married,blue-collar,No,Yes
107,28,Male,11650,7456,512,Tertiary,"['Twitter', 'Facebook', 'Instagram', 'Email']",No,"[[-29, 'Deposit', 968.63]]",yes,no,married,technician,Yes,No
108,37,Male,6741,8945,428,Secondary,"['Facebook', 'Instagram', 'Twitter', 'Email']",Yes,"[[-56, 'Withdrawal', 3702.05], [-21, 'Deposit', 4800.47]]",no,yes,married,admin.,No,No
109,34,Male,14986,8361,728,Postgrad,"['Instagram', 'Email']",Yes,"[[-40, 'Withdrawal', 3340.18], [-39, 'Deposit', 542.76], [-23, 'Withdrawal', 4914.44]]",yes,no,single,retired,Yes,Yes
110,22,Male,12805,167,570,Secondary,"['Facebook', 'Email']",No,"[[-58, 'Withdrawal', 2751.56], [-44, 'Deposit', 357.64], [-4, 'Withdrawal', 359.18]]",yes,no,married,management,Yes,No
111,69,Female,12572,7771,110,Primary,['Instagram'],Yes,"[[-58, 'Withdrawal', 1263.02], [-57, 'Withdrawal', 3837.21], [-20, 'Withdrawal', 1375.33], [-7, 'Deposit', 6833.26]]",yes,no,divorced,services,No,No
112,39,Male,3790,8211,151,Tertiary,"['Facebook', 'Email']",Yes,"[[-58, 'Deposit', 2306.7], [-24, 'Deposit', 4729.8], [-19, 'Withdrawal', 1422.71], [-16, 'Withdrawal', 1683.32], [-11, 'Withdrawal', 4318.48]]",no,no,divorced,technician,Yes,Yes
113,28,Female,7283,2684,43,Postgrad,"['Twitter', 'Email']",No,"[[-57, 'Withdrawal', 3012.67], [-50, 'Withdrawal', 741.63], [-49, 'Withdrawal', 3185.14], [-48, 'Withdrawal', 2623.85], [-42, 'Deposit', 4956.44], [-2, 'Deposit', 8719.54]]",yes,yes,married,self-employed,Yes,No
114,68,Female,9230,4893,264,Primary,"['Facebook', 'Twitter', 'Instagram']",Yes,[],yes,no,married,blue-collar,No,No
115,39,Male,9630,6432,853,Secondary,"['Instagram', 'Twitter']",No,"[[-19, 'Withdrawal', 3004.62]]",yes,no,divorced,retired,Yes,No
116,59,Female,6011,5612,244,Secondary,"['Instagram', 'Email']",Yes,[],yes,no,married,blue-collar,Yes,Yes
