customer_id,age,gender,annual_income,education_level,bank_signup_date,loyalty_program,loyalty_points,loyalty_last_active,bank_last_active,acquisition_channel,customer_acquisition_cost,yearly_average_customer_revenue,customer_tenure_days
CUST000059,44,Female,64907,PhD,2016-02-23,0,0,,2025-03-05,Online,145.4,7077.29,3324
CUST000060,52,Male,89577,Associate,2018-09-06,1,933,2024-06-08,2025-03-12,Online,130.63,7659.27,2398
CUST000061,27,Male,43282,Bachelor,2023-08-09,0,0,,2025-03-15,Online,303.41,991.99,600
CUST000062,39,Male,50124,Associate,2017-07-03,0,0,,2025-03-02,Branch,215.79,3671.65,2828
CUST000063,49,Male,31631,Bachelor,2016-07-22,1,369,2025-01-17,2025-03-31,Referral,116.77,4448.9,3174
CUST000064,38,Female,30241,Master,2022-12-05,1,97,2025-03-06,2025-03-24,Affiliate,216.19,1538.43,847
CUST000065,77,Male,82565,Bachelor,2022-05-12,1,249,2025-03-12,2025-03-09,Referral,104.45,3720.56,1054
CUST000066,66,Female,108359,Master,2023-08-24,1,350,2025-02-07,2025-03-19,Branch,258.62,2743.7,585
CUST000067,52,Male,53054,High School,2020-06-30,0,0,,2025-03-21,Online,298.16,3403.88,1735
CUST000068,46,Female,90839,Master,2018-12-13,1,1407,2025-02-19,2025-03-16,Direct Mail,305.09,3558.34,2300
CUST000069,59,Female,65900,High School,2022-12-05,0,0,,2025-03-11,Referral,91.55,2261.78,847
CUST000070,25,Male,39836,Master,2021-10-15,1,167,2025-01-31,2025-03-09,Online,129.09,2443.81,1263
CUST000071,47,Female,65892,Associate,2021-09-29,1,338,2024-08-27,2024-04-20,Online,294.19,4568.5,1279
CUST000072,22,Female,118670,Associate,2024-03-16,1,168,2025-03-15,2025-03-23,Affiliate,371.53,1317.94,380
CUST000073,58,Female,54023,Bachelor,2021-10-31,1,225,2025-01-28,2025-01-13,Affiliate,203.37,3840.78,1247
CUST000074,69,Male,120259,Master,2018-10-23,1,771,2024-07-22,2025-03-22,Online,302.4,11615.22,2351
CUST000075,52,Male,14841,High School,2018-02-13,1,94,2022-07-14,2025-03-05,Branch,335.84,3073.08,2603
CUST000076,26,Male,82953,Associate,2019-12-30,1,381,2025-01-12,2025-01-21,Online,203.16,4607.47,1918
CUST000077,45,Male,57446,Master,2019-01-17,1,530,2025-01-23,2025-03-28,Online,264.45,5543.81,2265
CUST000078,58,Male,47362,Associate,2023-02-09,1,113,2025-01-10,2023-12-25,Online,214.47,798.78,781
CUST000079,45,Female,57582,High School,2020-12-13,1,74,2025-03-27,2025-03-02,Affiliate,176.06,4089.1,1569
CUST000080,81,Male,20359,Bachelor,2016-05-23,1,271,2024-11-11,2025-02-02,Online,326.87,4274.53,3234
CUST000081,68,Female,49278,Associate,2015-05-06,0,0,,2025-03-02,Referral,140.37,9280.61,3617
CUST000082,76,Female,65751,Master,2015-10-25,1,814,2025-03-23,2025-03-31,Online,107.5,6352.99,3445
CUST000083,36,Male,115155,Bachelor,2020-04-07,0,0,,2025-01-03,Online,261.4,7112.59,1819
CUST000084,51,Male,42444,Bachelor,2024-02-02,1,91,2024-11-17,2025-03-12,Online,282.72,927.12,423
CUST000085,35,Male,36711,PhD,2023-08-12,0,0,,2025-03-10,Online,223.92,825.62,597
CUST000086,49,Male,42796,Bachelor,2019-04-06,1,378,2025-03-29,2025-03-25,Online,232.71,4815.35,2186
CUST000087,51,Male,86924,High School,2020-03-17,0,0,,2025-03-19,Online,189.07,7064.9,1840
CUST000088,72,Female,64826,Associate,2017-05-19,1,376,2025-03-30,2024-06-25,Online,141.75,8124.63,2873
CUST000089,69,Female,42201,Bachelor,2021-08-26,0,0,,2025-03-12,Referral,143.19,3774.39,1313
CUST000090,64,Female,71091,High School,2019-07-08,1,179,2025-03-25,2025-03-06,Direct Mail,277.79,4817.02,2093
CUST000091,46,Female,57735,Master,2017-06-25,1,466,2025-02-17,2025-03-20,Online,282.47,5279.12,2836
CUST000092,35,Male,89269,Bachelor,2017-03-05,0,0,,2025-03-27,Branch,333.99,8517.3,2948
CUST000093,83,Female,38718,Associate,2021-02-26,1,170,2025-03-20,2025-03-03,Online,329.04,3223.89,1494
CUST000094,81,Female,46688,Bachelor,2019-11-30,1,424,2025-02-19,2025-03-30,Online,239.25,4119.73,1948
CUST000095,29,Male,45208,Bachelor,2021-03-12,1,242,2025-02-14,2025-03-29,Online,179.58,2065.29,1480
CUST000096,24,Female,26458,Master,2020-05-15,0,0,,2025-03-22,Branch,262.73,2633.71,1781
CUST000097,32,Female,63777,Master,2019-12-08,0,0,,2025-01-21,Direct Mail,535.48,4040.01,1940
CUST000098,37,Female,62668,Bachelor,2020-06-13,1,535,2024-09-18,2025-03-29,Online,264.49,3049.88,1752
CUST000099,38,Male,55140,Bachelor,2020-07-25,0,0,,2025-03-06,Online,284.78,2293.43,1710
CUST000100,72,Male,48912,Bachelor,2019-12-29,1,205,2025-03-12,2025-03-28,Branch,252.87,5052.92,1919
CUST000101,26,Female,27103,Bachelor,2024-11-08,1,18,2024-09-12,2025-03-04,Online,322.3,246.92,143
CUST000102,67,Female,44567,High School,2018-11-24,0,0,,2025-03-15,Branch,351.65,3967.25,2319
CUST000103,66,Male,46338,High School,2024-11-13,0,0,,2025-03-11,Referral,96.07,166.91,138
CUST000104,77,Male,36825,Bachelor,2016-07-26,0,0,,2025-03-07,Branch,280.12,4268.69,3170
CUST000105,85,Female,50738,Associate,2020-06-11,1,393,2025-02-20,2025-03-13,Online,270.07,3981.75,1754
CUST000106,50,Male,67313,High School,2024-03-04,1,37,2024-11-27,2025-03-22,Referral,139.03,673.53,392
CUST000107,19,Female,141235,Bachelor,2016-09-09,1,2241,2023-03-25,2025-03-28,Branch,349.42,10840.22,3125
CUST000108,32,Male,60016,High School,2023-08-04,1,135,2025-01-11,2025-03-14,Online,128.11,1789.51,605
CUST000109,52,Male,62558,Bachelor,2018-04-08,1,648,2024-07-22,2025-03-22,Online,148.5,3430.68,2549
CUST000110,61,Female,52990,Bachelor,2021-10-10,0,0,,2024-09-06,Online,341.22,2923.79,1268
CUST000111,32,Female,21072,PhD,2016-05-05,0,0,,2025-03-24,Online,317.42,4608.96,3252
CUST000112,55,Female,54275,Bachelor,2022-06-12,1,149,2025-01-16,2025-02-03,Referral,143.38,2304.52,1023
CUST000113,73,Female,56681,High School,2018-08-28,1,685,2024-05-16,2025-03-15,Affiliate,319.18,4538.29,2407
CUST000114,38,Female,188472,Bachelor,2019-06-04,0,0,,2025-03-16,Branch,407.45,14417.95,2127
CUST000115,76,Female,49956,Master,2020-12-24,1,182,2025-01-30,2025-03-21,Referral,91.09,2974.97,1558
CUST000116,18,Male,63950,PhD,2023-09-27,0,0,,2025-01-06,Direct Mail,369.5,1438.8,551
CUST000117,51,Female,54053,Bachelor,2018-03-15,1,631,2025-02-16,2025-03-31,Online,285.49,5670.03,2573
CUST000118,82,Female,30661,Associate,2019-01-27,1,313,2024-12-31,2025-01-22,Online,136.9,3318.7,2255
CUST000119,40,Male,97392,Master,2018-10-28,0,0,,2025-03-27,Online,326.23,11430.27,2346
CUST000120,82,Male,80101,High School,2015-04-28,1,747,2025-03-09,2025-03-07,Branch,338.84,8285.63,3625
CUST000121,31,Female,81683,Bachelor,2021-11-16,1,583,2025-02-22,2025-03-18,Branch,239.62,3269.83,1231
CUST000122,56,Female,34905,Bachelor,2024-07-25,1,33,2024-03-30,2025-02-16,Online,207.49,259.67,249
CUST000123,82,Male,110911,High School,2016-09-11,0,0,,2025-03-26,Online,270.49,6727.92,3123
CUST000124,43,Male,27286,Associate,2015-09-09,0,0,,2025-03-05,Online,201.68,4959.35,3491
CUST000125,37,Male,73755,Associate,2020-10-05,1,525,2024-07-28,2025-03-08,Online,148.74,6130.13,1638
CUST000126,65,Male,164442,Bachelor,2023-10-03,1,176,2025-03-19,2025-03-26,Referral,50.34,3692.42,545
CUST000127,38,Female,33517,Master,2020-08-24,0,0,,2025-03-01,Online,169.66,3401.87,1680
CUST000128,85,Female,41437,Associate,2017-08-26,1,683,2024-10-10,2025-03-25,Branch,218.58,3190.62,2774
CUST000129,18,Female,57809,Master,2025-02-05,0,0,,2025-03-12,Direct Mail,539.6,161.91,54
CUST000130,59,Female,42759,High School,2019-12-23,1,189,2024-10-14,2025-03-12,Online,331.25,2452.83,1925
CUST000131,80,Male,25330,Bachelor,2016-02-10,1,401,2025-03-11,2024-04-16,Online,257.32,5260.62,3337
CUST000132,20,Male,56918,High School,2016-08-10,0,0,,2025-03-27,Direct Mail,374.99,3634.78,3155
CUST000133,32,Female,32336,Master,2015-05-10,1,298,2025-02-06,2025-03-29,Direct Mail,303.38,6224.31,3613
CUST000134,64,Male,69695,Bachelor,2019-05-11,0,0,,2024-08-30,Online,209.83,5014.06,2151
CUST000135,57,Female,34730,Bachelor,2020-01-02,1,196,2025-03-16,2025-03-17,Referral,103.7,1822.14,1915
CUST000136,48,Male,119378,Master,2015-10-03,1,1861,2024-04-02,2025-03-23,Branch,207.38,6094.51,3467
CUST000137,25,Female,37177,Bachelor,2024-07-22,0,0,,2025-03-21,Branch,480.82,322.98,252
CUST000138,48,Female,46819,PhD,2024-03-20,1,83,2024-06-04,2025-03-21,Referral,82.55,614.58,376
CUST000139,28,Male,82606,Bachelor,2024-07-20,0,0,,2025-03-18,Online,229.79,494.2,254
CUST000140,28,Male,29722,Master,2022-02-19,1,75,2025-03-11,2025-03-29,Online,346.02,1672.99,1136
CUST000141,80,Male,61624,Bachelor,2015-11-10,0,0,,2025-03-29,Online,109.09,8416.25,3429
CUST000142,26,Male,105731,High School,2017-11-17,0,0,,2025-03-23,Branch,476.23,7866.62,2691
CUST000143,34,Female,24620,Bachelor,2023-12-19,1,55,2025-01-19,2024-12-31,Online,220.96,698.86,468
CUST000144,34,Female,60319,High School,2021-06-05,0,0,,2025-03-30,Branch,404.73,3385.02,1395
CUST000145,78,Male,62631,Bachelor,2018-07-02,0,0,,2025-03-09,Online,282.37,6168.02,2464
CUST000146,39,Female,81308,Bachelor,2024-01-28,1,166,2024-05-04,2025-03-08,Online,116.43,1560.21,428
CUST000147,51,Male,29632,Bachelor,2015-12-13,1,262,2023-06-17,2025-03-04,Branch,255.89,4450.9,3396
CUST000148,85,Female,28420,High School,2021-11-27,1,186,2024-08-25,2025-03-08,Branch,338.93,1963.32,1220
CUST000149,72,Female,71400,High School,2018-10-28,1,342,2025-03-17,2025-03-22,Affiliate,361.67,6213.98,2346
CUST000150,45,Male,63804,Bachelor,2019-10-07,1,377,2025-01-06,2025-03-27,Online,148.72,5023.12,2002
CUST000151,43,Male,62338,PhD,2017-06-03,1,740,2025-03-13,2025-03-15,Referral,92.54,7520.32,2858
CUST000152,57,Female,65402,Associate,2021-06-13,1,245,2025-02-03,2025-03-14,Affiliate,301.05,4259.95,1387
CUST000153,69,Male,39146,Bachelor,2015-06-22,0,0,,2025-03-18,Branch,268.01,4341.83,3570
CUST000154,65,Male,61772,Bachelor,2024-06-25,1,67,2024-11-11,2025-03-01,Affiliate,293.42,880.59,279
CUST000155,74,Male,63679,Bachelor,2023-10-21,0,0,,2025-03-08,Referral,129.18,1573.74,527
CUST000156,84,Male,38480,Associate,2016-11-11,1,459,2025-03-26,2025-03-30,Online,292.31,5141.33,3062
CUST000157,75,Male,139801,Bachelor,2018-08-11,1,1163,2024-10-22,2025-03-05,Referral,71.76,10474.7,2424
CUST000158,33,Female,69703,High School,2017-08-08,0,0,,2025-03-20,Direct Mail,389.3,9025.68,2792
CUST000159,49,Female,30316,PhD,2019-06-09,1,292,2025-02-11,2025-03-11,Direct Mail,532.14,2699.31,2122
CUST000160,46,Female,76371,High School,2016-11-15,1,791,2024-05-02,2025-03-31,Online,273.53,9128.69,3058
CUST000161,26,Female,33784,Associate,2017-02-15,1,389,2025-02-11,2025-03-07,Online,223.59,5852.48,2966
CUST000162,61,Female,81522,High School,2024-07-27,1,98,2025-01-29,2024-10-05,Referral,66.45,794.32,247
CUST000163,20,Male,98163,High School,2017-04-19,1,1282,2025-03-10,2024-08-31,Online,108.77,6559.78,2903
CUST000164,47,Male,36488,Bachelor,2022-11-13,0,0,,2025-03-16,Online,130.41,2021.44,869
CUST000165,46,Male,89034,High School,2019-05-18,1,857,2025-03-29,2025-03-02,Branch,313.43,8758.88,2144
CUST000166,18,Male,67607,High School,2023-07-20,0,0,,2025-03-19,Online,186.47,1458.52,620
CUST000167,27,Male,82960,Bachelor,2018-11-11,0,0,,2025-03-18,Online,277.3,5311.11,2332
CUST000168,25,Female,141986,High School,2016-11-11,1,1035,2022-08-08,2025-03-18,Referral,101.81,12238.12,3062
CUST000169,47,Male,48649,High School,2019-08-12,1,421,2025-01-02,2025-03-01,Branch,317.23,2604.6,2058
CUST000170,26,Female,37730,Master,2023-08-21,0,0,,2025-01-09,Online,326.62,1062.0,588
CUST000171,22,Female,35253,Bachelor,2022-08-29,0,0,,2025-03-08,Direct Mail,259.38,1751.72,945
CUST000172,60,Female,36577,Master,2017-08-03,1,273,2025-02-13,2025-03-30,Branch,393.46,4630.57,2797
CUST000173,27,Male,52920,Master,2017-12-28,1,313,2024-05-19,2025-03-15,Online,243.9,6368.42,2650
CUST000174,83,Female,65229,Bachelor,2015-08-11,1,816,2024-09-28,2025-03-09,Online,257.79,9440.35,3520
CUST000175,48,Male,63160,High School,2023-06-07,1,110,2025-02-02,2025-03-28,Direct Mail,419.62,1110.42,663
CUST000176,53,Male,83173,Bachelor,2021-10-16,1,472,2024-03-10,2025-03-28,Referral,74.61,2963.92,1262
CUST000177,80,Female,55358,Master,2018-02-13,0,0,,2025-03-08,Online,131.96,4352.37,2603
CUST000178,45,Female,113761,Bachelor,2021-09-05,1,670,2025-01-28,2025-03-27,Affiliate,243.38,4074.86,1303
CUST000179,34,Female,48182,Bachelor,2017-02-06,0,0,,2025-03-18,Branch,384.61,6471.74,2975
CUST000180,78,Female,214308,High School,2025-02-03,0,0,,2025-03-07,Online,306.81,353.46,56
CUST000181,49,Male,75201,Master,2016-02-18,1,390,2025-01-05,2025-03-04,Online,314.95,9500.45,3329
CUST000182,78,Male,35828,Bachelor,2019-09-23,1,197,2025-01-18,2025-03-31,Direct Mail,489.01,3184.29,2016
CUST000183,70,Male,32197,PhD,2018-03-04,0,0,,2025-02-26,Online,327.39,4832.01,2584
CUST000184,42,Female,70005,High School,2017-06-14,0,0,,2025-03-01,Online,137.09,6165.17,2847
CUST000185,30,Male,49185,High School,2022-11-30,0,0,,2025-03-25,Online,137.69,1655.45,852
CUST000186,30,Male,78596,High School,2023-11-18,1,80,2025-02-15,2025-03-04,Online,273.31,782.86,499
CUST000187,73,Male,69682,Bachelor,2024-05-30,1,66,2025-02-16,2024-12-16,Affiliate,353.67,752.59,305
CUST000188,63,Male,53033,High School,2025-03-01,1,6,2025-03-21,2025-03-15,Branch,268.05,47.25,30
CUST000189,72,Male,36015,High School,2023-06-14,1,79,2025-02-12,2025-03-03,Branch,384.78,959.9,656
CUST000190,70,Female,25788,PhD,2018-05-24,0,0,,2025-03-25,Affiliate,373.41,3250.38,2503
CUST000191,77,Male,43994,High School,2015-04-19,1,478,2024-11-25,2024-06-29,Online,250.85,7343.12,3634
CUST000192,24,Male,84397,Master,2023-10-23,0,0,,2025-03-19,Referral,67.43,773.93,525
CUST000193,30,Male,61214,Associate,2019-05-03,1,668,2025-03-09,2025-03-19,Online,171.83,5166.04,2159
CUST000194,25,Female,29502,Master,2024-01-30,0,0,,2025-03-03,Online,313.22,547.55,426
CUST000195,69,Female,59974,Bachelor,2022-05-24,0,0,,2025-03-12,Online,272.8,1948.8,1042
CUST000196,61,Male,66685,Master,2022-11-16,1,64,2024-01-21,2025-03-29,Referral,132.83,1768.37,866
CUST000197,31,Male,35353,Master,2024-01-02,0,0,,2025-03-05,Online,295.43,974.06,454
CUST000198,49,Male,59394,High School,2019-11-08,1,583,2024-07-30,2025-03-04,Online,155.51,4875.66,1970
CUST000199,42,Female,56624,High School,2024-11-21,1,22,2025-01-04,2024-12-29,Online,188.51,228.74,130
CUST000200,42,Male,31057,Associate,2015-10-30,0,0,,2025-03-19,Online,132.3,3560.06,3440
CUST000201,75,Male,65774,Bachelor,2019-06-30,0,0,,2025-03-27,Online,205.81,5883.96,2101
CUST000202,35,Female,72800,Master,2020-03-10,1,477,2025-02-09,2025-03-10,Online,121.78,3776.01,1847
CUST000203,72,Male,94524,Bachelor,2020-10-13,1,471,2025-03-12,2025-03-17,Online,187.5,4975.03,1630
CUST000204,41,Female,93152,Bachelor,2024-07-17,0,0,,2025-03-29,Affiliate,158.69,548.13,257
CUST000205,53,Female,27618,High School,2023-10-20,0,0,,2025-03-21,Affiliate,249.27,530.59,528
CUST000206,77,Male,34412,Master,2021-10-20,1,230,2024-11-04,2025-03-01,Online,326.85,2316.62,1258
CUST000207,49,Male,71154,PhD,2020-08-17,0,0,,2025-03-08,Affiliate,287.81,3882.0,1687
CUST000208,27,Female,71109,Associate,2019-09-28,1,327,2025-01-05,2025-03-25,Affiliate,264.78,5634.08,2011
CUST000209,74,Female,71154,Bachelor,2023-02-07,1,203,2025-03-06,2025-03-28,Online,227.86,2293.67,783
CUST000210,30,Female,377548,High School,2015-12-20,1,5388,2023-05-07,2025-02-17,Online,197.27,20238.73,3389
CUST000211,24,Female,73169,Bachelor,2022-07-13,1,136,2025-02-22,2025-01-10,Affiliate,274.46,2727.05,992
CUST000212,19,Male,97039,Bachelor,2015-09-23,0,0,,2025-02-15,Branch,487.88,6090.06,3477
CUST000213,29,Female,88617,High School,2015-08-29,1,817,2025-03-21,2025-03-23,Online,291.12,9543.6,3502
CUST000214,48,Male,76174,Bachelor,2019-01-13,0,0,,2025-03-03,Branch,442.08,4130.85,2269
CUST000215,39,Female,46978,Associate,2022-03-31,1,178,2025-02-14,2024-07-09,Online,307.44,1740.63,1096
CUST000216,70,Female,80384,Bachelor,2015-12-14,0,0,,2025-03-20,Online,149.98,5116.07,3395
CUST000217,80,Male,37371,Bachelor,2018-04-18,0,0,,2025-03-30,Online,109.64,4395.52,2539
CUST000218,79,Male,48858,High School,2017-07-11,0,0,,2025-03-05,Online,103.54,4227.54,2820
CUST000219,45,Female,43148,Bachelor,2020-03-29,0,0,,2025-03-18,Referral,62.47,3419.73,1828
CUST000220,69,Female,57298,Bachelor,2015-07-13,1,542,2024-04-21,2025-03-15,Direct Mail,388.75,9129.5,3549
CUST000221,25,Female,174978,Associate,2017-10-14,0,0,,2025-03-14,Online,188.56,7729.51,2725
CUST000222,39,Male,21621,High School,2018-03-31,0,0,,2025-03-26,Referral,134.53,2791.09,2557
CUST000223,66,Male,77514,Bachelor,2023-10-14,1,113,2024-12-22,2025-03-18,Referral,132.36,1902.92,534
CUST000224,18,Male,24556,PhD,2020-04-26,0,0,,2025-03-13,Online,238.41,2010.73,1800
CUST000225,67,Male,43439,High School,2023-07-11,1,88,2025-01-11,2025-03-28,Affiliate,373.24,1084.56,629
CUST000226,51,Male,94803,Associate,2018-01-12,1,1085,2025-01-15,2025-03-16,Referral,105.83,9974.57,2635
CUST000227,76,Female,56796,High School,2024-12-03,0,0,,2025-03-11,Referral,106.02,211.37,118
CUST000228,54,Female,32087,Bachelor,2023-02-04,1,82,2024-05-31,2025-03-04,Online,340.48,865.77,786
CUST000229,72,Female,38462,High School,2023-07-30,0,0,,2025-03-16,Online,276.52,1209.04,610
CUST000230,80,Female,77256,Associate,2015-12-27,1,1257,2024-10-05,2025-03-18,Online,340.91,9488.49,3382
CUST000231,37,Female,38173,Bachelor,2016-10-25,1,299,2024-06-27,2025-03-07,Online,223.25,3647.38,3079
CUST000232,42,Female,61286,Bachelor,2017-10-17,1,378,2025-02-27,2025-03-14,Online,298.44,8399.72,2722
CUST000233,55,Male,56267,Associate,2022-06-20,1,327,2023-09-16,2025-03-11,Online,257.57,2085.04,1015
CUST000234,45,Female,39707,Bachelor,2023-04-02,0,0,,2025-03-03,Direct Mail,573.07,1125.51,729
CUST000235,25,Female,160662,Bachelor,2019-06-06,1,996,2025-01-25,2025-03-27,Referral,126.2,11959.86,2125
CUST000236,25,Female,75512,High School,2016-11-06,1,510,2025-02-24,2025-03-12,Online,233.53,7817.8,3067
CUST000237,58,Male,19980,High School,2017-04-27,1,100,2024-04-08,2025-03-25,Direct Mail,340.39,4496.36,2895
CUST000238,25,Male,60374,Master,2019-01-13,1,658,2025-03-28,2025-03-15,Direct Mail,390.89,3542.38,2269
CUST000239,24,Female,39505,High School,2022-12-02,0,0,,2025-03-05,Referral,70.03,1490.49,850
CUST000240,79,Male,84229,Bachelor,2019-10-29,1,544,2024-04-24,2025-02-12,Affiliate,260.65,5713.95,1980
CUST000241,82,Male,37005,Master,2019-10-12,0,0,,2025-02-10,Branch,278.8,3036.93,1997
CUST000242,85,Male,51933,Associate,2021-11-30,0,0,,2025-03-08,Online,136.29,1718.99,1217
CUST000243,38,Male,70797,Associate,2021-12-02,0,0,,2025-03-01,Online,344.92,2711.03,1215
CUST000244,25,Female,84792,Bachelor,2017-09-05,0,0,,2025-02-26,Online,341.04,7715.36,2764
